Gene	UniProt	Local GO	UniProt GO	Overlap	Local Only	UniProt Only
APC	P25054	28	56	8	20	48
AXIN1	O15169	25	56	9	16	47
CTNNB1	P35222	20	227	12	8	215
FZD1	Q9UP38	27	34	9	18	25
GSK3B	P49841	19	105	10	9	95
JAK1	P23458	8	42	6	2	36
JAK2	O60674	12	130	7	5	123
JAK3	P52333	13	43	5	8	38
LEF1	Q9UJU2	18	85	11	7	74
LRP5	O75197	24	52	6	18	46
LRP6	O75581	23	40	6	17	34
SOCS1	O15524	10	23	4	6	19
SOCS2	O14508	10	27	4	6	23
SOCS3	O14543	12	20	4	8	16
STAT1	P42224	9	75	7	2	68
STAT2	P52630	11	24	4	7	20
STAT3	P40763	12	128	8	4	120
STAT4	Q14765	10	21	4	6	17
STAT5A	P42229	11	74	6	5	68
STAT5B	P51692	11	69	5	6	64
STAT6	P42226	12	32	4	8	28
TCF7L2	Q9NQB0	17	47	8	9	39
TYK2	P29597	13	39	5	8	34
WNT3A	P56704	21	84	9	12	75
